3640, 21, chocolate, 21, 21.0
3638, 31, chocolate, 31, 31.0
3639, 71, chocolate, 71, 71.0
3630, 31, chocolate, 31, 31.0
3631, 21, chocolate, 21, 21.0
3632, 1, chocolate, 1, 1.0
3633, 31, chocolate, 31, 31.0
3634, 21, chocolate, 21, 21.0
3635, 1, chocolate, 1, 1.0
3636, 81, chocolate, 81, 81.0
3637, 61, chocolate, 61, 61.0
3650, 81, chocolate, 81, 81.0
3651, 1, chocolate, 1, 1.0
3649, 21, chocolate, 21, 21.0
1, 20, chocolate, 25, 20.0
2, 10, chocolate, 21, 55.0
3, 10, vanilla, 21, 55.0
5, 10, vanilla, 21, 52.0
6, 1, chocolate, 1, 1.0
7, 1, chocolate, 1, 1.0
8, 1, chocolate, 1, 1.0
3641, 41, chocolate, 41, 41.0
9, 2, vanilla, 2, 2.0
3642, 11, chocolate, 11, 11.0
3643, 41, chocolate, 41, 41.0
3644, 61, chocolate, 61, 61.0
3645, 71, chocolate, 71, 71.0
3646, 31, chocolate, 31, 31.0
3647, 21, chocolate, 21, 21.0
3648, 71, chocolate, 71, 71.0
3660, 31, chocolate, 31, 31.0
3661, 61, chocolate, 61, 61.0
3662, 81, chocolate, 81, 81.0
3652, 91, chocolate, 91, 91.0
3653, 81, chocolate, 81, 81.0
3654, 11, chocolate, 11, 11.0
3655, 21, chocolate, 21, 21.0
3656, 91, chocolate, 91, 91.0
3657, 21, chocolate, 21, 21.0
3658, 11, chocolate, 11, 11.0
3659, 42, vanilla, 42, 8023.0
3670, 21, chocolate, 21, 21.0
3671, 61, chocolate, 61, 61.0
3672, 91, chocolate, 91, 91.0
3673, 81, chocolate, 81, 81.0
3663, 41, chocolate, 41, 41.0
3664, 41, chocolate, 41, 41.0
3665, 11, chocolate, 11, 11.0
3666, 81, chocolate, 81, 81.0
3667, 41, chocolate, 41, 41.0
3668, 81, chocolate, 81, 81.0
3669, 91, chocolate, 91, 91.0
3680, 51, chocolate, 51, 51.0
3681, 81, chocolate, 81, 81.0
3682, 81, chocolate, 81, 81.0
3683, 91, chocolate, 91, 91.0
3684, 31, chocolate, 31, 31.0
3674, 51, chocolate, 51, 51.0
3675, 41, chocolate, 41, 41.0
3676, 71, chocolate, 71, 71.0
3677, 11, chocolate, 11, 11.0
3678, 11, chocolate, 11, 11.0
3679, 41, chocolate, 41, 41.0
3690, 41, chocolate, 41, 41.0
3691, 3, caramel, 3, 3.0
3692, 31, chocolate, 31, 31.0
3693, 33, caramel, 33, 33.0
3694, 32, vanilla, 32, 5911.0
3695, 21, chocolate, 21, 21.0
3685, 91, chocolate, 91, 91.0
3686, 71, chocolate, 71, 71.0
3687, 51, chocolate, 51, 51.0
3688, 71, chocolate, 71, 71.0
3689, 51, chocolate, 51, 51.0
3696, 42, vanilla, 42, 8023.0
